MaterialId,Reduced Formula,Elements,Crystal System,Space Group,Bandgap,Formation Energy Per Atom,Decomposition Energy Per Atom,microgravity_advantage_score,seed_score,density_ratio,mp_ratio,mp_compatible,target_sectors
62e433f648,Al3SiGe2W3,"['Al', 'Si', 'Ge', 'W']",monoclinic,C2,,-0.1526,-0.0206,50.52,65,8.26,3.96,True,"['semiconductor', 'quantum', 'superalloy', 'optical']"
275b677e9f,Al2SiGeW2,"['Al', 'Si', 'Ge', 'W']",triclinic,P1,0.0018,-0.1808,-0.0196,50.52,65,8.26,3.96,True,"['semiconductor', 'quantum', 'superalloy', 'optical']"
8de8d6a9de,Hf3FeRe2SiGe2,"['Si', 'Fe', 'Ge', 'Hf', 'Re']",orthorhombic,Amm2,0.0047,-0.6693,-0.0745,54.84,65,9.02,2.86,True,"['semiconductor', 'quantum', 'superalloy', 'optical', 'defense']"
e7006bd122,Ti3Re3SiBAs,"['B', 'Si', 'Ti', 'As', 'Re']",hexagonal,P-6,0.0058,-0.7263,-0.04,54.86,65,9.02,3.17,True,"['semiconductor', 'quantum', 'superalloy', 'optical']"
9c0ae65800,Rb14Nb2In(GaAs2)5,"['Ga', 'As', 'Rb', 'Nb', 'In']",triclinic,P1,0.9877,-0.4235,-0.0088,54.86,65,5.6,9.08,False,"['semiconductor', 'quantum', 'optical']"
86cbe80b08,Re5SiMoAs13,"['Si', 'As', 'Mo', 'Re']",orthorhombic,Imm2,,-0.154,-0.0293,54.87,65,9.02,3.17,True,"['semiconductor', 'quantum', 'superalloy', 'optical', 'defense']"
05a35af035,Ti3Re3SiGeB,"['B', 'Si', 'Ti', 'Ge', 'Re']",hexagonal,P-6,0.0016,-0.6763,-0.054,54.88,65,9.02,2.86,True,"['semiconductor', 'quantum', 'superalloy', 'optical']"
4634d9eec7,Ta3Si2GeMo3,"['Si', 'Ge', 'Mo', 'Ta']",hexagonal,P-6,,-0.4801,-0.0754,55.0,65,7.15,2.72,True,"['semiconductor', 'quantum', 'superalloy', 'optical', 'defense']"
722d3e71a3,Er8Ta11Si15GeW,"['Si', 'Ge', 'Er', 'Ta', 'W']",triclinic,P1,,-0.7479,-0.0839,55.02,65,8.26,3.05,True,"['semiconductor', 'quantum', 'superalloy', 'optical', 'defense']"
b8631ac916,Dy3Zn3SiGePt,"['Si', 'Zn', 'Ge', 'Dy', 'Pt']",hexagonal,P-6,0.005,-0.7866,-0.0335,55.08,65,9.21,2.95,True,"['semiconductor', 'quantum', 'optical']"
5e2ef5ab76,Na16SiGeP8,"['Na', 'Si', 'P', 'Ge']",cubic,F-43m,0.3502,-0.3731,-0.0045,55.17,65,5.48,5.32,False,"['semiconductor', 'battery', 'quantum', 'optical']"
5fbb14622d,Ca2NpSi5AsPd20,"['Si', 'Ca', 'As', 'Pd', 'Np']",tetragonal,I4mm,,-0.6727,-0.0351,50.53,65,7.75,1.68,True,"['semiconductor', 'quantum', 'optical']"
9584d83505,Ta4Ti2Re5Si6Mo,"['Si', 'Ti', 'Mo', 'Ta', 'Re']",monoclinic,C2,0.0117,-0.608,-0.0506,50.54,65,9.02,2.05,True,"['quantum', 'superalloy', 'defense']"
cfa370dde2,Ta5TiReSi6Mo5,"['Si', 'Ti', 'Mo', 'Ta', 'Re']",triclinic,P1,0.0035,-0.5706,-0.0556,50.54,65,9.02,2.05,True,"['quantum', 'superalloy', 'defense']"
252a7c28ab,Ta2TiRe2Si3Mo,"['Si', 'Ti', 'Mo', 'Ta', 'Re']",monoclinic,Pm,0.0078,-0.6142,-0.0554,50.54,65,9.02,2.05,True,"['quantum', 'superalloy', 'defense']"
